,기간,세븐틴
926,2021-12-25,4.93457
927,2021-12-26,4.23052
928,2021-12-27,3.88933
929,2021-12-28,3.7895
930,2021-12-29,3.90706
931,2021-12-30,4.7753
932,2021-12-31,5.30629
933,2022-01-01,5.02881
934,2022-01-02,4.15072
935,2022-01-03,4.46564
936,2022-01-04,4.07322
937,2022-01-05,3.82727
938,2022-01-06,3.90903
939,2022-01-07,3.90312
940,2022-01-08,8.37139
941,2022-01-09,5.22781
942,2022-01-10,4.31885
943,2022-01-11,4.2604
944,2022-01-12,4.3044
945,2022-01-13,4.81865
946,2022-01-14,4.44134
947,2022-01-15,4.52705
948,2022-01-16,5.35719
949,2022-01-17,4.30046
950,2022-01-18,4.55036
951,2022-01-19,4.43937
952,2022-01-20,4.16977
953,2022-01-21,4.39504
954,2022-01-22,4.64001
955,2022-01-23,5.07905
956,2022-01-24,4.73885
957,2022-01-25,11.80691
958,2022-01-26,7.58624
959,2022-01-27,6.2077
960,2022-01-28,4.86561
961,2022-01-29,4.91125
962,2022-01-30,4.49782
963,2022-01-31,4.44561
964,2022-02-01,4.43838
965,2022-02-02,4.22986
966,2022-02-03,4.39307
967,2022-02-04,4.24727
968,2022-02-05,4.36253
969,2022-02-06,4.11197
970,2022-02-07,3.94089
971,2022-02-08,4.08603
972,2022-02-09,3.82201
973,2022-02-10,4.28273
974,2022-02-11,4.27682
975,2022-02-12,5.73844
976,2022-02-13,4.48567
977,2022-02-14,5.53911
978,2022-02-15,4.93128
979,2022-02-16,4.35859
980,2022-02-17,4.29291
981,2022-02-18,4.76939
982,2022-02-19,3.78359
983,2022-02-20,3.74189
984,2022-02-21,3.73565
985,2022-02-22,3.82497
986,2022-02-23,3.83909
987,2022-02-24,3.80428
988,2022-02-25,4.65971
989,2022-02-26,3.99901
990,2022-02-27,3.85715
991,2022-02-28,4.15466
992,2022-03-01,3.71135
993,2022-03-02,3.30974
994,2022-03-03,3.61086
