,기간,스트레이키즈
924,2021-12-23,3.17103
925,2021-12-24,2.6829
926,2021-12-25,6.69674
927,2021-12-26,3.72537
928,2021-12-27,2.63722
929,2021-12-28,2.96931
930,2021-12-29,2.63106
931,2021-12-30,2.48426
932,2021-12-31,12.21346
933,2022-01-01,4.46911
934,2022-01-02,2.93133
935,2022-01-03,2.78915
936,2022-01-04,2.42832
937,2022-01-05,2.25431
938,2022-01-06,2.23943
939,2022-01-07,2.46014
940,2022-01-08,5.19643
941,2022-01-09,2.91182
942,2022-01-10,2.88051
943,2022-01-11,2.68136
944,2022-01-12,3.74949
945,2022-01-13,3.41022
946,2022-01-14,2.83227
947,2022-01-15,3.69149
948,2022-01-16,3.64171
949,2022-01-17,4.63439
950,2022-01-18,2.87333
951,2022-01-19,2.74501
952,2022-01-20,2.75271
953,2022-01-21,2.72858
954,2022-01-22,2.43191
955,2022-01-23,2.75014
956,2022-01-24,2.69573
957,2022-01-25,2.33182
958,2022-01-26,2.47708
959,2022-01-27,2.52738
960,2022-01-28,2.23327
961,2022-01-29,1.96636
962,2022-01-30,1.98074
963,2022-01-31,1.98228
964,2022-02-01,2.06235
965,2022-02-02,2.0993
966,2022-02-03,2.21223
967,2022-02-04,2.14396
968,2022-02-05,2.32053
969,2022-02-06,2.20042
970,2022-02-07,2.24918
971,2022-02-08,2.42318
972,2022-02-09,2.43807
973,2022-02-10,2.29178
974,2022-02-11,2.1029
975,2022-02-12,2.62593
976,2022-02-13,3.47643
977,2022-02-14,3.67353
978,2022-02-15,2.85228
979,2022-02-16,2.43037
980,2022-02-17,2.20247
981,2022-02-18,2.19888
982,2022-02-19,2.36005
983,2022-02-20,2.16603
984,2022-02-21,2.32617
985,2022-02-22,2.13883
986,2022-02-23,1.98433
987,2022-02-24,2.242
988,2022-02-25,2.31077
989,2022-02-26,2.24662
990,2022-02-27,2.63414
991,2022-02-28,3.08583
992,2022-03-01,2.41856
993,2022-03-02,1.95815
994,2022-03-03,2.21531
